Customer #	Interarrival Time (min)	Service Time (min)
1	4.50	4.44
2	3.49	3.34
3	3.29	2.17
4	4.65	2.45
5	4.71	2.60
6	3.31	3.46
7	3.77	3.24
8	4.30	2.90
9	5.53	4.30
10	3.41	2.39
11	3.40	2.98
12	3.78	2.00
13	5.02	5.30
14	3.53	3.77
15	4.13	3.53
16	3.10	3.82
17	5.06	2.98
18	6.00	2.85
19	4.82	3.24
20	3.95	3.33
21	5.49	4.14
22	4.62	4.36
23	3.93	3.45
24	3.45	2.83
25	4.10	2.85
26	4.51	3.10
27	5.12	2.53
28	3.89	2.39
29	3.61	3.22
30	3.42	2.17
31	3.69	1.84
32	4.12	3.21
33	3.84	2.42
34	3.98	3.88
35	4.76	4.15
36	4.28	5.87
37	5.44	2.29
38	5.04	3.23
39	3.94	2.31
40	3.84	5.22
41	2.64	4.73
42	5.44	3.59
43	4.61	3.96
44	4.47	2.65
45	3.21	3.27
46	4.42	3.38
47	3.02	2.70
48	4.83	2.75
49	3.43	2.81
50	5.11	2.59
51	3.00	2.77
52	4.45	3.47
53	3.71	3.67
54	4.89	1.73
55	3.35	2.80
56	5.30	2.42
57	2.06	3.76
58	4.09	2.12
59	3.83	3.57
60	4.41	2.92
61	3.82	3.62
62	5.48	1.68
63	4.14	4.46
64	5.09	1.65
65	3.30	3.16
66	4.01	4.81
67	3.08	4.69
68	5.80	1.91
69	2.96	2.64
70	2.41	2.07
71	4.68	2.88
72	4.99	3.00
73	4.26	3.28
74	4.39	2.69
75	5.75	1.39
76	4.24	3.02
77	3.82	2.47
78	4.08	2.62
79	4.74	4.62
80	3.26	3.76
81	3.06	1.96
82	4.59	2.01
83	3.92	2.47
84	5.41	3.08
85	2.33	2.81
86	3.40	3.75
87	3.11	2.40
88	2.55	0.94
89	4.11	3.29
90	3.00	4.04
91	6.16	3.22
92	5.19	3.19
93	4.44	3.34
94	4.61	3.77
95	5.36	1.95
96	5.48	4.98
97	4.10	4.74
98	3.48	3.45
99	3.90	2.66
100	4.31	3.85
101	2.20	2.89
102	3.66	3.18
103	3.62	2.38
104	3.98	3.27
105	5.13	3.86
106	3.18	3.77
107	3.92	2.29
108	3.32	1.48
109	3.56	3.36
110	3.39	1.97
111	4.39	2.59
112	3.49	2.82
113	4.07	4.45
114	3.45	2.32
115	3.23	2.76
116	3.57	1.94
117	3.53	2.91
118	3.44	3.06
119	5.87	3.90
120	3.10	2.18
121	3.59	3.65
122	4.52	2.03
123	4.91	2.08
